code	MWL	value
hua	4.5	moderately short
huc	3.364	very short
hui	4.385	moderately short
hum	4.431	moderately short
hun	3.346	very short
hup	3.612	short
hve	4.269	moderately short
hwc	3.236	very short
hwr	4.276	moderately short
hya	3.613	short
hzb	3.362	very short
iaa	3.044	very short
iat	3.635	short
iau	2.514	extremely short
iba	4.279	moderately short
ibi	3.575	short
ibn	4.618	moderately long
ice	4.419	moderately short
idn	4.936	moderately long
ido	3.929	short
ifi	4.771	moderately long
ifm	3.65	short
ifu	4.729	moderately long
iga	4.312	moderately short
igb	3.902	short
ige	3.759	short
ign	5.013	long
igs	4	short
iha	4.515	moderately long
ijo	3.763	short
ik	4.019	moderately short
ika	4.211	moderately short
ila	3.316	very short
ill	7.256	extremely long
ilo	4.382	moderately short
imo	3.409	very short
ina	4.206	moderately short
ind	4.719	moderately long
ing	3.436	very short
inj	4.718	moderately long
inn	5.385	long
inr	5.308	long
ins	5.542	very long
inu	5.092	long
iqu	4.797	moderately long
ird	3.6	short
iri	3.663	short
irq	4.219	moderately short
irr	4.308	moderately short
irx	5.106	long
isa	3.436	very short
ise	3.722	short
isi	4.167	moderately short
isn	4.713	moderately long
iso	2.308	extremely short
itb	3.975	short
ite	5.037	long
itg	4.133	moderately short
itn	4.713	moderately long
ito	5.192	long
itu	3.684	short
itw	4.485	moderately short
itz	3.625	short
iva	5.361	long
ivs	4.784	moderately long
iwa	5.5	long
iwm	3.535	short
ixc	3.743	short
ixi	3.158	very short
izh	4.197	moderately short
izi	3.6	short
jab	3.697	short
jad	3.188	very short
jah	4.282	moderately short
jak	3.419	very short
jam	5.385	long
jaq	4.446	moderately short
jar	3.484	very short
jav	4.474	moderately short
jbt	3.65	short
jcr	3.269	very short
jeb	5.179	long
jeh	3.625	short
jem	2.95	extremely short
jib	4.138	moderately short
jin	3.231	very short
jiv	4.425	moderately short
jlu	3.329	very short
jmo	4.184	moderately short
jms	3.917	short
jng	3.619	short
jom	4.5	moderately short
jpn	4.053	moderately short
jpr	3.591	short
jrn	3.744	short
jrw	3.985	short
jug	3.635	short
juh	4.197	moderately short
juk	3.297	very short
jun	4.05	moderately short
jur	4.487	moderately short
